"Meddržavne selitve po: SELITVE, LETO, STAROSTNE SKUPINE, DRŽAVLJANSTVO"
", SPOL"

" ";" ";" ";" ";"Spol - SKUPAJ";"Moški";"Ženske"
"Priseljeni iz tujine"
" ";"1995"
" ";" ";"Starostne skupine - SKUPAJ"
" ";" ";" ";"Selitve - SKUPAJ";14378;8699;5679
" ";" ";" ";"Državljani Republike Slovenije";8191;4214;3977
" ";" ";" ";"Tuji državljani";6187;4485;1702
" ";" ";"0-4 let"
" ";" ";" ";"Selitve - SKUPAJ";518;265;253
" ";" ";" ";"Državljani Republike Slovenije";388;203;185
" ";" ";" ";"Tuji državljani";130;62;68
" ";" ";"5-9 let"
" ";" ";" ";"Selitve - SKUPAJ";467;240;227
" ";" ";" ";"Državljani Republike Slovenije";351;182;169
" ";" ";" ";"Tuji državljani";116;58;58
" ";" ";"10-14 let"
" ";" ";" ";"Selitve - SKUPAJ";381;197;184
" ";" ";" ";"Državljani Republike Slovenije";285;148;137
" ";" ";" ";"Tuji državljani";96;49;47
" ";" ";"15-19 let"
" ";" ";" ";"Selitve - SKUPAJ";479;266;213
" ";" ";" ";"Državljani Republike Slovenije";339;182;157
" ";" ";" ";"Tuji državljani";140;84;56
" ";" ";"20-24 let"
" ";" ";" ";"Selitve - SKUPAJ";1092;656;436
" ";" ";" ";"Državljani Republike Slovenije";429;215;214
" ";" ";" ";"Tuji državljani";663;441;222
" ";" ";"25-29 let"
" ";" ";" ";"Selitve - SKUPAJ";1821;1129;692
" ";" ";" ";"Državljani Republike Slovenije";802;404;398
" ";" ";" ";"Tuji državljani";1019;725;294
" ";" ";"30-34 let"
" ";" ";" ";"Selitve - SKUPAJ";1899;1179;720
" ";" ";" ";"Državljani Republike Slovenije";1027;524;503
" ";" ";" ";"Tuji državljani";872;655;217
" ";" ";"35-39 let"
" ";" ";" ";"Selitve - SKUPAJ";1676;1002;674
" ";" ";" ";"Državljani Republike Slovenije";948;468;480
" ";" ";" ";"Tuji državljani";728;534;194
" ";" ";"40-44 let"
" ";" ";" ";"Selitve - SKUPAJ";1342;861;481
" ";" ";" ";"Državljani Republike Slovenije";700;372;328
" ";" ";" ";"Tuji državljani";642;489;153
" ";" ";"45-49 let"
" ";" ";" ";"Selitve - SKUPAJ";1223;844;379
" ";" ";" ";"Državljani Republike Slovenije";634;363;271
" ";" ";" ";"Tuji državljani";589;481;108
" ";" ";"50-54 let"
" ";" ";" ";"Selitve - SKUPAJ";875;586;289
" ";" ";" ";"Državljani Republike Slovenije";470;270;200
" ";" ";" ";"Tuji državljani";405;316;89
" ";" ";"55-59 let"
" ";" ";" ";"Selitve - SKUPAJ";782;480;302
" ";" ";" ";"Državljani Republike Slovenije";469;227;242
" ";" ";" ";"Tuji državljani";313;253;60
" ";" ";"60-64 let"
" ";" ";" ";"Selitve - SKUPAJ";785;447;338
" ";" ";" ";"Državljani Republike Slovenije";556;255;301
" ";" ";" ";"Tuji državljani";229;192;37
" ";" ";"65-69 let"
" ";" ";" ";"Selitve - SKUPAJ";448;281;167
" ";" ";" ";"Državljani Republike Slovenije";331;190;141
" ";" ";" ";"Tuji državljani";117;91;26
" ";" ";"70-74 let"
" ";" ";" ";"Selitve - SKUPAJ";260;133;127
" ";" ";" ";"Državljani Republike Slovenije";201;95;106
" ";" ";" ";"Tuji državljani";59;38;21
" ";" ";"75-79 let"
" ";" ";" ";"Selitve - SKUPAJ";159;74;85
" ";" ";" ";"Državljani Republike Slovenije";132;66;66
" ";" ";" ";"Tuji državljani";27;8;19
" ";" ";"80-84 let"
" ";" ";" ";"Selitve - SKUPAJ";103;42;61
" ";" ";" ";"Državljani Republike Slovenije";82;37;45
" ";" ";" ";"Tuji državljani";21;5;16
" ";" ";"85 + let"
" ";" ";" ";"Selitve - SKUPAJ";68;17;51
" ";" ";" ";"Državljani Republike Slovenije";47;13;34
" ";" ";" ";"Tuji državljani";21;4;17
" ";"2013"
" ";" ";"Starostne skupine - SKUPAJ"
" ";" ";" ";"Selitve - SKUPAJ";13384;7902;5482
" ";" ";" ";"Državljani Republike Slovenije";7789;4059;3730
" ";" ";" ";"Tuji državljani";5595;3843;1752
" ";" ";"0-4 let"
" ";" ";" ";"Selitve - SKUPAJ";612;312;300
" ";" ";" ";"Državljani Republike Slovenije";476;238;238
" ";" ";" ";"Tuji državljani";136;74;62
" ";" ";"5-9 let"
" ";" ";" ";"Selitve - SKUPAJ";516;259;257
" ";" ";" ";"Državljani Republike Slovenije";380;182;198
" ";" ";" ";"Tuji državljani";136;77;59
" ";" ";"10-14 let"
" ";" ";" ";"Selitve - SKUPAJ";379;198;181
" ";" ";" ";"Državljani Republike Slovenije";275;145;130
" ";" ";" ";"Tuji državljani";104;53;51
" ";" ";"15-19 let"
" ";" ";" ";"Selitve - SKUPAJ";412;222;190
" ";" ";" ";"Državljani Republike Slovenije";264;146;118
" ";" ";" ";"Tuji državljani";148;76;72
" ";" ";"20-24 let"
" ";" ";" ";"Selitve - SKUPAJ";1096;612;484
" ";" ";" ";"Državljani Republike Slovenije";510;276;234
" ";" ";" ";"Tuji državljani";586;336;250
" ";" ";"25-29 let"
" ";" ";" ";"Selitve - SKUPAJ";1834;1057;777
" ";" ";" ";"Državljani Republike Slovenije";945;479;466
" ";" ";" ";"Tuji državljani";889;578;311
" ";" ";"30-34 let"
" ";" ";" ";"Selitve - SKUPAJ";1831;1072;759
" ";" ";" ";"Državljani Republike Slovenije";1033;516;517
" ";" ";" ";"Tuji državljani";798;556;242
" ";" ";"35-39 let"
" ";" ";" ";"Selitve - SKUPAJ";1558;967;591
" ";" ";" ";"Državljani Republike Slovenije";894;484;410
" ";" ";" ";"Tuji državljani";664;483;181
" ";" ";"40-44 let"
" ";" ";" ";"Selitve - SKUPAJ";1182;750;432
" ";" ";" ";"Državljani Republike Slovenije";648;360;288
" ";" ";" ";"Tuji državljani";534;390;144
" ";" ";"45-49 let"
" ";" ";" ";"Selitve - SKUPAJ";968;634;334
" ";" ";" ";"Državljani Republike Slovenije";514;286;228
" ";" ";" ";"Tuji državljani";454;348;106
" ";" ";"50-54 let"
" ";" ";" ";"Selitve - SKUPAJ";800;524;276
" ";" ";" ";"Državljani Republike Slovenije";453;249;204
" ";" ";" ";"Tuji državljani";347;275;72
" ";" ";"55-59 let"
" ";" ";" ";"Selitve - SKUPAJ";697;462;235
" ";" ";" ";"Državljani Republike Slovenije";399;221;178
" ";" ";" ";"Tuji državljani";298;241;57
" ";" ";"60-64 let"
" ";" ";" ";"Selitve - SKUPAJ";671;385;286
" ";" ";" ";"Državljani Republike Slovenije";425;188;237
" ";" ";" ";"Tuji državljani";246;197;49
" ";" ";"65-69 let"
" ";" ";" ";"Selitve - SKUPAJ";332;191;141
" ";" ";" ";"Državljani Republike Slovenije";239;122;117
" ";" ";" ";"Tuji državljani";93;69;24
" ";" ";"70-74 let"
" ";" ";" ";"Selitve - SKUPAJ";239;143;96
" ";" ";" ";"Državljani Republike Slovenije";157;91;66
" ";" ";" ";"Tuji državljani";82;52;30
" ";" ";"75-79 let"
" ";" ";" ";"Selitve - SKUPAJ";123;62;61
" ";" ";" ";"Državljani Republike Slovenije";81;38;43
" ";" ";" ";"Tuji državljani";42;24;18
" ";" ";"80-84 let"
" ";" ";" ";"Selitve - SKUPAJ";76;34;42
" ";" ";" ";"Državljani Republike Slovenije";53;24;29
" ";" ";" ";"Tuji državljani";23;10;13
" ";" ";"85 + let"
" ";" ";" ";"Selitve - SKUPAJ";58;18;40
" ";" ";" ";"Državljani Republike Slovenije";43;14;29
" ";" ";" ";"Tuji državljani";15;4;11
" ";"2014"
" ";" ";"Starostne skupine - SKUPAJ"
" ";" ";" ";"Selitve - SKUPAJ";14336;8609;5727
" ";" ";" ";"Državljani Republike Slovenije";8129;4376;3753
" ";" ";" ";"Tuji državljani";6207;4233;1974
" ";" ";"0-4 let"
" ";" ";" ";"Selitve - SKUPAJ";726;389;337
" ";" ";" ";"Državljani Republike Slovenije";575;300;275
" ";" ";" ";"Tuji državljani";151;89;62
" ";" ";"5-9 let"
" ";" ";" ";"Selitve - SKUPAJ";617;315;302
" ";" ";" ";"Državljani Republike Slovenije";480;240;240
" ";" ";" ";"Tuji državljani";137;75;62
" ";" ";"10-14 let"
" ";" ";" ";"Selitve - SKUPAJ";458;246;212
" ";" ";" ";"Državljani Republike Slovenije";319;170;149
" ";" ";" ";"Tuji državljani";139;76;63
" ";" ";"15-19 let"
" ";" ";" ";"Selitve - SKUPAJ";426;231;195
" ";" ";" ";"Državljani Republike Slovenije";248;131;117
" ";" ";" ";"Tuji državljani";178;100;78
" ";" ";"20-24 let"
" ";" ";" ";"Selitve - SKUPAJ";1239;642;597
" ";" ";" ";"Državljani Republike Slovenije";586;292;294
" ";" ";" ";"Tuji državljani";653;350;303
" ";" ";"25-29 let"
" ";" ";" ";"Selitve - SKUPAJ";2153;1214;939
" ";" ";" ";"Državljani Republike Slovenije";1210;607;603
" ";" ";" ";"Tuji državljani";943;607;336
" ";" ";"30-34 let"
" ";" ";" ";"Selitve - SKUPAJ";2010;1181;829
" ";" ";" ";"Državljani Republike Slovenije";1170;621;549
" ";" ";" ";"Tuji državljani";840;560;280
" ";" ";"35-39 let"
" ";" ";" ";"Selitve - SKUPAJ";1575;1001;574
" ";" ";" ";"Državljani Republike Slovenije";876;507;369
" ";" ";" ";"Tuji državljani";699;494;205
" ";" ";"40-44 let"
" ";" ";" ";"Selitve - SKUPAJ";1240;812;428
" ";" ";" ";"Državljani Republike Slovenije";633;375;258
" ";" ";" ";"Tuji državljani";607;437;170
" ";" ";"45-49 let"
" ";" ";" ";"Selitve - SKUPAJ";1027;715;312
" ";" ";" ";"Državljani Republike Slovenije";514;315;199
" ";" ";" ";"Tuji državljani";513;400;113
" ";" ";"50-54 let"
" ";" ";" ";"Selitve - SKUPAJ";777;520;257
" ";" ";" ";"Državljani Republike Slovenije";377;215;162
" ";" ";" ";"Tuji državljani";400;305;95
" ";" ";"55-59 let"
" ";" ";" ";"Selitve - SKUPAJ";622;439;183
" ";" ";" ";"Državljani Republike Slovenije";305;182;123
" ";" ";" ";"Tuji državljani";317;257;60
" ";" ";"60-64 let"
" ";" ";" ";"Selitve - SKUPAJ";605;414;191
" ";" ";" ";"Državljani Republike Slovenije";324;172;152
" ";" ";" ";"Tuji državljani";281;242;39
" ";" ";"65-69 let"
" ";" ";" ";"Selitve - SKUPAJ";334;212;122
" ";" ";" ";"Državljani Republike Slovenije";191;97;94
" ";" ";" ";"Tuji državljani";143;115;28
" ";" ";"70-74 let"
" ";" ";" ";"Selitve - SKUPAJ";244;145;99
" ";" ";" ";"Državljani Republike Slovenije";146;70;76
" ";" ";" ";"Tuji državljani";98;75;23
" ";" ";"75-79 let"
" ";" ";" ";"Selitve - SKUPAJ";131;67;64
" ";" ";" ";"Državljani Republike Slovenije";84;42;42
" ";" ";" ";"Tuji državljani";47;25;22
" ";" ";"80-84 let"
" ";" ";" ";"Selitve - SKUPAJ";86;38;48
" ";" ";" ";"Državljani Republike Slovenije";52;22;30
" ";" ";" ";"Tuji državljani";34;16;18
" ";" ";"85 + let"
" ";" ";" ";"Selitve - SKUPAJ";66;28;38
" ";" ";" ";"Državljani Republike Slovenije";39;18;21
" ";" ";" ";"Tuji državljani";27;10;17

"Vir: Statistièni urad Republike Slovenije. "
" "
"Za leto 2008 in naprej so podatki pripravljeni skladno z definicijo "
"prebivalstva Slovenije, objavljeno leta 2008. "
" "
"Do konca leta 2007 so podatki o odseljenih tujih državljanih ocena "
"Statistiènega urada Republike Slovenije. "
" "

"Povezane vsebine: "
" "
"- (seznam HREF=http://www.stat.si/metodoloska.asp?podrocje=5 "
"target=_blank) Metodološka pojasnila "
"- (seznam "
"HREF=http://www.stat.si/koledar.asp?pod=5&kon=021&DatumOd=1.1.2005&Da-"
"tumDo=Date() target=_blank) Koledar objav "
"- (seznam HREF=http://www.stat.si/metodologija_vpr.asp?pod=5&kon=021 "
"target=_blank) Vprašalniki statistiènega raziskovanja"

"Starost je èas, ki je pretekel od rojstva osebe do opazovanega "
"dogodka (selitve). Prikazana je v dopolnjenih letih starosti."

